_id,작성자,별점 점수,내용
658a832526947c056326504c,seulgigomseulgi,5.0,"🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸\n이스터에그들로 가득찬, 스파이디 덕후들을 위한\n종합선물셋트 끝장판 하ㅏㅏ!!\n보고있나요..토비형님.? 당신의 댄스를 또 보게되다니!!ㅜㅜ\n오늘밤 스파이디 뽕에 취한다..!\n제 뒤에서 보신분들 죄송합니다..리듬 겁나타버렸어요..\n음악, 색감 미쳤다..힙 함이 터져버려! 눈호강 귀호강\n애니메이션 퀄리티또한👏👏👏 한 획을 그었도다..\n스파이디로 심장벌렁한게 얼마만인가ㅠㅜㅠ\n감개무량..오늘 여기서 심멎 o<---<  심정지 그자체\n.\n커크선장님, 니콜라스옹, 마이뮤즈 헤일리😍,\n최애배우  제이크존스님😃 (hey jess! 닉 밀러!)\n배우분들까지 완벽한 취향저격..크..\n.\n..스덕은 여기서 눈을감습니다..\n는 안되고\n후속 제작 시급합니다.\n일해라 소니야! 얼른 일해라!  Can't wait!!!!.\n일단은 4dx재관람 가즈아ㅏㅏㅏㅏ\n🕸🕷🕸🕷🎵🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸"
658a832526947c056326504d,정영훈,5.0,미국 코믹북 표현 방식을 그대로 영화에 집어넣었다. 상당히 신선했다. 보는 동안 코믹북을 읽는 느낌이었다.\n마블 특유의 유머 코드가 코믹북 그림체와 만나니 더욱 재밌었다.\n다양한 스파이더맨이 나와서 각자의 매력을 뽐내는데 개개인 모두가 매력적이었다.\n한 명의 영웅과 한 명의 악당이 싸우는 구도가 아니라 여러 명의 영웅들이 한 명의 악당과 싸우는 구도가 진짜 신선했다.\n다른 차원에서 왔다는 걸 표현하는 또 다른 그림체 또한 상당히 좋았다.\n최근에 봤던 <러빙 빈센트> 그 이상의 영화인 거 같다.\n \n2018.12.10 18:00~20:07
658a832526947c056326504e,이진구,4.5,"마블에 스파이더맨을 다시 넘겨줄 것처럼 그러더니만, 뒤에서 대형사고 칠 준비 중이었던 소니\n==========================\n쿠키 영상 & 추모 메시지 하나씩 있음"
658a832526947c056326504f,신혜미,4.5,영화에 더 빠졌다간 Sunflower 틀어놓고 우리집 옥상에서 상가 옥상으로 점프 시도할 거 같다...
658a832526947c0563265050,이용우,4.5,"실사 마블 스튜디오와의 전면전 대신에, 노선을 틀어 가장 마블스러운 연출과 영상을 보여준다. 끝내주는 음악은 덤."
658a832526947c0563265051,Jay Oh,4.0,"마치 무채색 세상을 페인트로 뒤덮은 듯한 신선함, 색감. ""스파이더맨""의 본질을 잃지 않으면서 끊임없이 재밌다!\nMy Spider-Sense is tingling, in the greatest sense."
658a832526947c0563265052,권혜정,3.0,Don’t do it like me. Do it like you.\n@cgv죽전
658a832526947c0563265053,영우,4.0,이렇게 신선한 스파이더맨도 있구나...\n모든 스파이더맨 시리즈 중 최고가 아닐까ㅎ
658a832526947c0563265054,임판호,4.0,그동안의 소니의 인질극은 이 영화를 위해서였다.\n덧! 고마워요. 스탠 리.
658a832526947c0563265055,조항빈,4.5,"'스파이더맨: 뉴 유니버스'는 무려 스파이더맨의 4번째 영화 시리즈의 시작이다. 이미 진행 중인 시리즈가 있는데도 말이다. 그럼에도 이 영화는 신선하다. 아니 가히 혁신적이라고 할 수 있다. 예고편에서 보여준 독창적인 애니메이션 스타일로, 스파이더맨에 대한 수많은 코믹들과 버전들은 물론이고 이전에 있던 다른 영화들을 기반으로 하며 캐릭터와 그 깊은 역사에 대한 사랑이 가득담긴 굉장한 작품을 만들었다.\n우선 애니메이션에 대해 얘기하자. 코믹북의 스타일을 그대로 영상화하려는 시도는 분명 있었다. 이안 감독의 '헐크'는 끔찍한 혼종의 예이며, 에드가 라이트의 '스콧 필그림 vs 더 월드'는 훨씬 성공한 사례라고 볼 수 있다. 하지만 애니메이션 장르로 코믹북을 아예 옮겨온 시도가 있었는가. 이 영화는 하프톤 점들로 그림자를 표현하고, 캡션으로 인물들의 생각을 텍스트로 표현하고, 의성어와 의태어도 등장한다. 거기에 굉장히 강한 채도와 명암 대비로 색깔과 검정을 중시하는 코믹북의 시각적 특징을 가져오며, 처음부터 끝까지 눈이 즐거운 시퀀스들로 가득 채운다. 하지만 영화는 미국 코믹스에 대한 오마주로 끝나지 않는다. 스파이더맨 느와르에는 흑백이라는 컨셉으로 훨씬 강한 명암으로 이뤄진 액션과 디자인을 선보이고 이를 통해 유머를 이끌어내기도 한다. 페니 파커는 일본 애니메이션 스타일로 디자인하며, 큰 입과 눈, 작은 코라는 이목구비와 이를 통한 과장된 표정 변화들은 물론이고, 다른 캐릭터들보다도 그림자를 덜 쓰며 좀 더 평면적인 디자인을 통해 아니메 캐릭터의 특징들을 모두 잡아내며, 동시에 전반적인 영화의 미학에 너무 튀지 않도록 적당히 조화시킨 점이 굉장히 인상적이었다. 그리고 스파이더햄은 미국 TV 카툰에 주로 나오는 텍스 에이버리 스타일의 과장된 동물 애니메이션에 대한 경례였다. 영화는 이 다양한 스타일들을 각 캐릭터의 개성으로 삼으며, 전투 스타일과 시각 효과도 이에 맞춰 개별로 연출하는 센스가 돋보였으며, 시각적인 오락을 그야말로 극대화했다. 이 스타일들은 모두 2D 그림체라는 점이 공통점이다. 3D 애니메이션이 할리우드를 지배하고 있는 상황에서, 텔테일 게임즈 같은 게임사들이 성공적으로 선보인 2D 그림체의 3D 구현을 이 영화에서는 2D 애니메이션에 대한 일종의 헌사로 쓰인다고 느꼈다. 영화관에서 더 이상 보기 힘든 2D 애니메이션의 흔적과 2D 애니메이션만의 상상력과 창의성을 볼 수 있었다는 점이 정말 감격스러웠다.\n'홈커밍' 같은 경우는 피터 파커가 10대 소년이라는 점을 락 음악에서 나오는 젊음의 에너지와 발랄함으로 표현했다면, 이 영화는 마일스 모랄레스가 밀레니얼이라는 점에 조금 더 집중한다. ""요즘 음악""으로 불릴 수 있는 PBR&B와 힙합 음악의 느낌이 물씬 나는 스코어와 사운드트랙에서 피터 파커의 너드함과 대비되는 마일스 모랄레스의 트렌디함을 부각시키며 '공각기동대'의 영향을 받은 듯한 뉴욕의 야경과 글리치 효과가 조화될 때 특히나 영상과 음악의 합이 굉장히 잘 맞아떨어진다.\n캐릭터들도 다들 매력이 넘친다. 모든 캐릭터들이 스파이더맨의 서로 다른 버전이기 때문에 나름대로의 개성은 있으나 오리진 스토리, 성격 등에 있어선 공통점이 많다. 하지만 이 영화의 주인공은 여러 명의 스파이더맨이 아니라 마일스 모랄레스 하나다. 이 다양한 스파이더맨들은 마일스 모랄레스가 스파이더맨이 되가는 성장에서 거울이자 가이드 역할을 해주는 재미있는 조연들이다. 이 영화는 마일스 모랄레스가 스파이더맨으로, 상징적인 슈퍼히어로로 커가는 과정인 오리진 스토리다. 자신이 어떤 선택을 하며 살아갈지를 잘 모르기 때문에 주변사람들과 갈등을 빚는 10대 소년이 어느 날 갑자기 슈퍼히어로가 되며 영웅의 길을 선택하는 여정은 피터 파커의 이야기와 흡사하면서도 결이 다르다.\n스토리는 기본적으로 슈퍼히어로 오리진 스토리를 따르지만, 스파이더맨의 멀티버스를 다루는 만큼, 메타적 유머가 많이 산재돼있다. 각본가인 필 로드는 '21 점프 스트리트'와 그 속편의 감독이며 '레고 무비'에선 연출에 각본까지 참여한 사람이며, 공동 연출 겸 작가인 로드니 로스맨도 '22 점프 스트리트'에 각본으로 참여했다. 이 영화들의 공통점은 바로 패러디와 메타 유머가 강하게 묻어있다는 점이다. 이 영화는 스파이더맨과 관련된 여러 농담들을 던지기도 하며, 스파이더맨에 대한 지식을 알고 있는 팬들이 충분히 놀라면서도 즐길 만한 요소들도 이곳저곳에 잘 삽입했다. 이들의 이야기와 대사에서 이 사람들이 스파이더맨에 대해 얼마나 잘 알고 있으며, 스파이더맨과 관련된 역사, 팬덤, 문화도 꿰뚫고 있으며, 무엇보다 스파이더맨을 굉장히 사랑하고 있다는 것을 충분히 느낄 수 있었다.\n유일하게 아쉬운 점은 빌런에 있는 것 같다. 다양한 스파이더맨 빌런이 등장하는 영화지만, 그 중에서도 메인은 킹핀이다. 오리진 스토리는 주인공, 즉 ""히어로""에 집중해야한다고 생각한다. 빌런과의 대결을 통해 주인공은 자신의 가치관과 특징을 알게되며 히어로로 거듭나는 것이 오리진 스토리다. '아이언맨'의 빌런인 오베다이야 스테인은 토니 스타크와 같은, 아니 더 좋은 슈트를 가지고 아이언맨과 싸우지만, 아이언맨은 폭력으로 돈과 권력을 쟁취하려는 오베다이야와 달리 자신이 가진 돈과 권력으로 인류를 도우려고 한다는 점에서 그와 가치관의 대립이 일어나며, 그를 물리칠 때 쓰이는 토니 스타크의 가장 큰 무기는 바로 ""지략""이라는 점에서 아이언맨이라는 히어로의 특징이 제대로 확립된다. 이 영화에서 킹핀과 스파이더맨의 대립점이 무엇인지가 조금 애매하다. 킹핀은 빌런으로서의 동기가 있으며 심지어 강하기도 하다. 하지만 그 동기가 스파이더맨의 여정과 부딪히는 방식은 서로의 가치관이 대립해서라기 보단 계획 자체가 위험성이 크기 때문이다. 차라리 킹핀에게 깊은 동기를 부여하지 않고 단순하게 나쁜 놈으로만 표현했다면 오히려 나았을지도 모른다.\n'스파이더맨: 뉴 유니버스'는 그야말로 혁신적인 애니메이션이다. 수많은 애니메이터들의 노력, 창의성, 그리고 매체에 대한 사랑이 담긴 수작이며, 애니메이션은 물론이고 슈퍼히어로 영화 중에서도 최정상급 퀄리티를 가졌다고 생각한다. 이 영화는 스파이더맨, 애니메이션, 그리고 이에 열광하는 사람들에 대한 애착이 듬뿍 담긴 아름다운 작품이다."
